store_id,store_type,store_size,region
1,A,213810,North
2,C,31639,East
3,B,102098,South
4,B,88289,North
5,A,218696,North
6,A,207397,West
7,A,134165,North
8,C,36140,South
9,B,100495,North
10,B,143563,South
11,A,215181,West
12,C,44446,West
13,C,68618,East
14,A,130851,South
15,A,185392,East
16,A,166421,South
17,A,158221,East
18,B,83396,North
19,A,179797,North
20,A,177052,East
21,B,149131,East
22,A,135695,West
23,A,200284,North
24,A,179615,North
25,B,142357,East
26,B,117400,South
27,A,139116,North
28,B,99871,East
29,B,80458,South
30,A,143238,West
31,B,106434,West
32,A,213320,East
33,A,151319,East
34,C,53283,South
35,C,73920,East
36,C,75994,North
37,A,209840,South
38,A,200010,South
39,B,91417,West
40,A,179735,East
41,A,213886,South
42,B,112504,North
43,A,160021,North
44,C,82759,East
45,A,182581,East
46,B,78675,South
47,A,204341,East
48,B,97869,West
49,B,121856,West
50,A,148726,East
